City_ID,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
342,Deori Khas,IN,74.86,overcast clouds,23.4,79.02,UMA TAE CENTER
344,Palmerston,AU,77.0,fog,-12.49,130.98,Quest Palmerston - Serviced Apartments and Accommodation
348,Cabedelo,BR,75.2,broken clouds,-6.98,-34.83,Lua Mansa Pousada
352,San Pedro,PH,79.0,scattered clouds,14.35,121.02,OYO 412 Viewfort Venue
355,Beyneu,KZ,74.97,overcast clouds,45.32,55.2,NUR
356,Idah,NG,72.77,light rain,7.11,6.73,Ubiga Hotel Idah
362,Chauk,MM,76.1,broken clouds,20.88,94.82,Bo Khin Guest House
363,San Francisco,US,78.8,smoke,37.77,-122.42,The Clift Royal Sonesta Hotel
364,Pundaguitan,PH,80.04,light rain,6.37,126.17,Leonardo Family Beach House 1
367,Kapit,MY,74.46,scattered clouds,2.02,112.93,Hotel Meligai Kapit
368,Gigmoto,PH,82.56,overcast clouds,13.78,124.39,Cj's Travellers Inn
373,Salalah,OM,77.0,broken clouds,17.02,54.09,HAMDAN PLAZA HOTEL
374,Saint Marys,US,82.4,clear sky,30.73,-81.55,Spencer House Inn
375,Buchanan,LR,77.0,broken clouds,5.88,-10.05,Kamaneahn Hotel Inc
383,Acapulco,MX,86.0,scattered clouds,16.86,-99.89,HS Hotsson Smart Acapulco
384,Sorong,ID,78.51,broken clouds,-0.88,131.25,The Waigo Hotel
387,Fukue,JP,83.48,light rain,32.69,128.84,Goto Guesthouse Utojuku & SA Car Rental
389,Mamallapuram,IN,82.4,mist,12.63,80.17,Radisson Blu Resort Temple Bay Mamallapuram
390,Mangrol,IN,81.43,overcast clouds,21.12,70.12,Hotel The Royal Honours
391,Port-Gentil,GA,75.2,few clouds,-0.72,8.78,Fengshui Residence
392,Chandla,IN,77.86,overcast clouds,25.08,80.2,Rest House
395,Fare,PF,77.72,clear sky,-16.7,-151.02,Maitai Lapita Village Huahine
396,Kijang,KR,78.8,scattered clouds,35.24,129.21,Brown Dot Gijang Yeonhwari
398,Ponta Delgada,PT,71.6,few clouds,37.73,-25.67,Vila Nova Hotel
399,Grenada,ES,77.0,clear sky,37.19,-3.61,HOTEL REINA CRISTINA
404,Soyo,AO,72.39,scattered clouds,-6.13,12.37,Hotel Mpampa
406,Anupgarh,IN,89.46,scattered clouds,29.19,73.21,Setia Villa
407,Trani,IT,75.0,clear sky,41.27,16.42,Marè Resort
409,Pochutla,MX,87.01,broken clouds,15.74,-96.47,Hotel Posada San Jose
412,Itupiranga,BR,84.2,few clouds,-5.13,-49.33,JAIRO ORLINDO VIEIRA
414,Bandarbeyla,SO,76.05,overcast clouds,9.49,50.81,REER XOOSHLE GROUP
417,Ellensburg,US,84.2,broken clouds,47.0,-120.55,Holiday Inn Express Ellensburg
418,Fortuna,US,77.0,few clouds,40.6,-124.16,Super 8 by Wyndham Fortuna
419,Karratha,AU,70.47,clear sky,-20.74,116.85,ibis Styles Karratha
421,Hamilton,US,82.99,scattered clouds,39.18,-84.53,Six Acres Bed & Breakfast
426,Kualakapuas,ID,77.0,few clouds,-3.01,114.39,Guest House Izonk
427,Gambela,ET,71.15,overcast clouds,8.25,34.58,Solomon Debebe Hotel
430,Sulangan,PH,83.5,broken clouds,11.14,123.72,Maia's Beach Resort
431,Bud,US,80.6,clear sky,39.45,-86.18,Madsion Scouts Camp
432,Katobu,ID,75.38,clear sky,-4.94,122.53,La Ode Husein
433,Mahina,PF,82.4,scattered clouds,-17.51,-149.49,Guest Beach Bungalow Tahiti
435,Harper,LR,75.51,overcast clouds,4.38,-7.72,Screensaver
437,Maumere,ID,77.79,clear sky,-8.62,122.21,Sylvia Hotel
440,Loanda,AO,71.6,broken clouds,-8.84,13.23,EPIC SANA Luanda
444,Manado,ID,75.2,few clouds,1.49,124.85,Aryaduta Hotel
449,Lucea,JM,90.0,thunderstorm,18.45,-78.17,Grand Palladium Jamaica Resort & Spa
451,Langsa,ID,74.93,light rain,4.47,97.97,OYO 2964 Hotel Ridho
