City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
104,Kuching,1.55,110.33,77.0,94,20,2.24,MY,2020-08-20 22:02:33
105,Esperance,-33.87,121.9,46.4,100,75,5.82,AU,2020-08-20 22:00:13
106,Kasane,-17.82,25.15,63.86,41,49,5.61,BW,2020-08-20 22:02:34
107,Pisco,-13.7,-76.22,66.2,68,63,12.75,PE,2020-08-20 22:01:19
108,Sechura,-5.56,-80.82,69.35,60,100,18.61,PE,2020-08-20 22:02:34
109,Shumskiy,54.83,99.13,56.07,66,100,1.81,RU,2020-08-20 22:02:35
110,Tura,25.52,90.22,73.22,97,100,4.05,IN,2020-08-20 22:00:13
111,Andreapol,56.65,32.27,52.63,93,6,4.29,RU,2020-08-20 22:02:35
112,Vanimo,-2.67,141.3,79.48,79,2,5.77,PG,2020-08-20 22:02:36
113,Kyra,49.58,111.98,54.64,86,22,2.44,RU,2020-08-20 22:02:36
114,Qaanaaq,77.48,-69.36,45.25,81,100,4.43,GL,2020-08-20 22:02:36
115,Athabasca,54.72,-113.29,73.02,52,95,8.41,CA,2020-08-20 22:02:36
116,Provideniya,64.38,-173.3,55.4,71,77,11.18,RU,2020-08-20 22:02:36
117,Kalmunai,7.42,81.82,78.35,82,100,5.21,LK,2020-08-20 22:01:29
118,Yerkoy,39.64,34.47,65.26,61,40,2.57,TR,2020-08-20 22:02:37
119,Kaitangata,-46.28,169.85,51.01,90,100,3.0,NZ,2020-08-20 22:02:37
120,Urumqi,43.8,87.6,69.8,43,95,4.47,CN,2020-08-20 22:02:38
121,Ancud,-41.87,-73.82,50.0,76,9,4.7,CL,2020-08-20 22:02:38
122,Camacha,33.08,-16.33,73.4,94,40,4.7,PT,2020-08-20 22:02:32
123,Birin,26.89,88.07,63.01,100,100,4.68,NP,2020-08-20 22:02:38
124,Puerto Ayora,-0.74,-90.35,77.0,53,72,18.34,EC,2020-08-20 22:02:39
125,Ishinomaki,38.42,141.3,77.0,83,40,2.24,JP,2020-08-20 22:02:39
126,Mount Gambier,-37.83,140.77,41.0,86,75,9.17,AU,2020-08-20 22:02:39
127,Mar Del Plata,-38.0,-57.56,53.6,30,0,11.41,AR,2020-08-20 21:59:44
128,Luderitz,-26.65,15.16,59.95,34,0,15.52,NA,2020-08-20 22:02:39
129,Aksu,41.12,80.26,71.26,46,86,3.69,CN,2020-08-20 22:02:40
130,Santo Tomas,14.11,121.14,78.8,94,91,3.36,PH,2020-08-20 22:02:40
